month,mh1,mh2,ltr,mh3,standard
2019/5,0,0,0,0,100
2019/6,5,0,0,0,94
2019/7,7,0,0,0,92
2019/8,7,0,0,0,92
2019/9,7,0,0,0,92
2019/10,6,0,0,0,93
2019/11,6,0,0,0,93
2019/12,5,0,0,0,94
2020/1,6,0,0,0,93
2020/2,6,0,0,0,93
2020/3,7,0,0,0,92
2020/4,8,0,0,0,91
2020/5,7,0,0,0,92
2020/6,8,0,0,0,91
2020/7,9,0,0,0,90
2020/8,7,0,0,0,92
2020/9,7,0,0,0,92
2020/10,7,0,0,0,92
2020/11,7,0,0,0,92
2020/12,6,0,0,0,93
2021/1,6,0,0,0,93
2021/2,6,0,0,0,93
2021/3,6,0,0,0,93
2021/4,7,0,0,0,92
2021/5,6,0,0,0,93
2021/6,6,10,0,0,83
2021/7,7,13,0,0,79
2021/8,6,12,0,0,80
2021/9,7,12,0,0,80
2021/10,7,11,0,0,80
2021/11,7,13,0,0,79
2021/12,6,13,0,0,80
2022/1,5,12,0,0,82
2022/2,5,12,0,0,81
2022/3,5,11,0,0,82
2022/4,7,12,0,0,80
2022/5,6,13,0,0,79
2022/6,7,12,0,0,80
2022/7,7,13,0,0,78
2022/8,6,12,0,0,80
2022/9,6,11,0,0,82
2022/10,5,11,0,0,83
2022/11,5,13,0,0,81
2022/12,5,12,0,0,81
2023/1,6,12,0,0,81
2023/2,5,12,0,0,81
2023/3,6,12,0,0,81
2023/4,6,11,0,0,81
2023/5,5,10,0,0,83
2023/6,5,11,0,0,81
2023/7,5,9,4,0,80
2023/8,4,10,5,0,80
2023/9,4,9,5,0,80
2023/10,3,9,5,0,81
2023/11,3,10,5,0,81
2023/12,5,10,5,0,78
2024/1,5,11,5,0,78
2024/2,4,10,4,0,79
2024/3,3,10,3,0,81
2024/4,3,9,3,0,83
2024/5,3,9,3,0,83
2024/6,3,9,3,9,74
2024/7,2,7,3,15,70
2024/8,2,6,3,15,71
2024/9,2,7,4,16,68
2024/10,2,7,4,18,67
2024/11,2,5,3,19,68
2024/12,2,5,3,19,68
