month,mh1,mh2,ltr,mh3,standard
2019/5/04,0,0,0,0,100
2019/5/11,0,0,0,0,100
2019/5/18,0,0,0,0,100
2019/5/25,0,0,0,0,100
2019/6/01,0,0,0,0,100
2019/6/08,5,0,0,0,94
2019/6/15,5,0,0,0,94
2019/6/29,8,0,0,0,91
2019/7/06,5,0,0,0,94
2019/7/13,6,0,0,0,93
2019/7/20,6,0,0,0,93
2019/7/27,6,0,0,0,93
2019/8/03,6,0,0,0,93
2019/8/10,8,0,0,0,91
2019/8/17,7,0,0,0,92
2019/8/24,7,0,0,0,92
2019/8/31,6,0,0,0,93
2019/9/14,7,0,0,0,92
2019/9/21,7,0,0,0,92
2019/9/28,7,0,0,0,92
2019/10/05,6,0,0,0,93
2019/10/19,5,0,0,0,94
2019/10/26,5,0,0,0,94
2019/11/02,7,0,0,0,92
2019/11/09,5,0,0,0,94
2019/11/16,6,0,0,0,93
2019/11/23,5,0,0,0,94
2019/12/07,5,0,0,0,94
2019/12/14,4,0,0,0,95
2019/12/21,7,0,0,0,92
2019/12/28,5,0,0,0,94
2020/1/04,6,0,0,0,93
2020/1/11,6,0,0,0,93
2020/1/18,6,0,0,0,93
2020/2/01,6,0,0,0,93
2020/2/08,6,0,0,0,93
2020/2/15,6,0,0,0,93
2020/2/22,6,0,0,0,93
2020/3/07,5,0,0,0,94
2020/3/14,7,0,0,0,92
2020/3/21,8,0,0,0,91
2020/3/28,7,0,0,0,92
2020/4/04,9,0,0,0,90
2020/4/18,9,0,0,0,90
2020/4/19,9,0,0,0,90
2020/4/25,7,0,0,0,92
2020/4/26,5,0,0,0,94
2020/5/02,11,0,0,0,88
2020/5/03,8,0,0,0,91
2020/5/09,7,0,0,0,92
2020/5/10,6,0,0,0,93
2020/5/16,8,0,0,0,91
2020/5/17,8,0,0,0,91
2020/5/23,5,0,0,0,94
2020/5/24,7,0,0,0,92
2020/5/30,7,0,0,0,92
2020/5/31,7,0,0,0,92
2020/6/07,7,0,0,0,92
2020/6/13,9,0,0,0,90
2020/6/14,8,0,0,0,91
2020/6/20,7,0,0,0,92
2020/6/27,8,0,0,0,91
2020/6/28,10,0,0,0,89
2020/7/04,10,0,0,0,89
2020/7/05,10,0,0,0,89
2020/7/12,8,0,0,0,91
2020/7/18,9,0,0,0,90
2020/7/25,7,0,0,0,92
2020/8/01,7,0,0,0,92
2020/8/02,6,0,0,0,93
2020/8/09,8,0,0,0,91
2020/8/15,7,0,0,0,93
2020/8/16,7,0,0,0,92
2020/8/22,7,0,0,0,92
2020/8/23,8,0,0,0,91
2020/8/29,6,0,0,0,93
2020/8/30,9,0,0,0,90
2020/9/05,7,0,0,0,92
2020/9/06,7,0,0,0,92
2020/9/12,7,0,0,0,92
2020/9/13,8,0,0,0,91
2020/9/19,7,0,0,0,92
2020/9/20,6,0,0,0,93
2020/9/26,7,0,0,0,92
2020/9/27,6,0,0,0,93
2020/10/04,6,0,0,0,93
2020/10/10,7,0,0,0,92
2020/10/11,6,0,0,0,93
2020/10/17,8,0,0,0,91
2020/10/18,7,0,0,0,92
2020/10/24,8,0,0,0,91
2020/10/25,7,0,0,0,92
2020/10/31,5,0,0,0,94
2020/11/08,7,0,0,0,92
2020/11/14,7,0,0,0,92
2020/11/15,7,0,0,0,92
2020/11/21,6,0,0,0,93
2020/11/22,8,0,0,0,91
2020/11/28,8,0,0,0,91
2020/11/29,7,0,0,0,92
2020/12/06,8,0,0,0,92
2020/12/12,6,0,0,0,93
2020/12/13,7,0,0,0,92
2020/12/19,7,0,0,0,92
2020/12/20,5,0,0,0,94
2020/12/27,5,0,0,0,94
2021/1/02,8,0,0,0,91
2021/1/03,7,0,0,0,92
2021/1/09,7,0,0,0,92
2021/1/10,6,0,0,0,93
2021/1/17,7,0,0,0,92
2021/1/23,6,0,0,0,93
2021/1/24,7,0,0,0,92
2021/1/30,7,0,0,0,92
2021/1/31,7,0,0,0,92
2021/2/06,7,0,0,0,92
2021/2/07,6,0,0,0,93
2021/2/13,6,0,0,0,93
2021/2/20,6,0,0,0,93
