Date,8ED,MRD,DST,5DN,CHK,BOK,SOK,9ED,RAV,GPT,DIS,CSP,TSP,TSB,PLC,FUT,10E,LRW,MOR,SHM,EVE,ALA,CON,ARB,M10,ZEN,WWK,ROE,M11,SOM,MBS,NPH,M12,ISD,DKA,AVR,M13,RTR,GTC,DGM,M14,THS,BNG,JOU,M15,KTK,FRF,DTK,ORI,BFZ,OGW,W16,SOI,EMN,KLD,AER,W17,AKH,HOU,XLN,RIX,DOM,M19,GRN,RNA,WAR,MH1,M20,ELD,THB,IKO,M21,ZNR,KHM,STX,MH2,AFR,MID,VOW,NEO,SNC,DMU,BRO,ONE,MOM,MAT,LTR,WOE,LCI,MKM,OTJ,MH3,ACR,BIG,BLB,DSK,FDN,Other
2017/5,1.57,2.22,1.94,3.82,2.87,0,0.62,1.01,2.99,1.03,0.18,0.59,4.16,0.21,0.72,2.81,0.36,3.61,0.52,2.99,1.24,2.63,3.79,1.24,1.65,2.27,3.1,2.68,3.05,3.64,1.6,3.61,0.57,3.46,3.2,0.18,0.67,3.51,0.96,0.23,0.54,1.16,0.34,0.77,0.39,1.65,0.67,1.29,0.31,1.29,3.46,0,1.91,2.84,1.03,3.25,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/6,1.4,2.01,1.24,3.48,1.47,0.03,0.6,0.23,2.76,0.92,0.38,0.5,3.35,0.66,1.02,3.67,0.34,4.67,1.4,2.17,0.41,2.26,3.35,2.45,1.74,2.8,3.48,3.37,1.78,3.05,1.15,3.24,0.66,3.86,3.54,0.04,0.5,3.7,1.11,0.17,0.92,1.68,0.19,0.54,0.48,2.48,1.33,1.47,0.79,1.25,3.57,0,1.59,3.19,1.5,2.77,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/7,2.71,2.23,1.28,3.77,2.45,0.04,0.71,0.9,2.27,0.96,0.41,0.56,3.38,0.39,1.09,2.55,0.6,3.82,1.61,2.27,0.52,3.05,3.45,1.47,1.93,2.21,2.65,3.33,3.17,3.37,0.95,3.48,0.32,3.95,3.14,0.45,0.41,3.87,0.92,0.13,0.65,1.84,0.12,0.51,0.38,1.56,0.64,1.05,0.86,1.38,5,0,1.52,2.49,0.92,2.84,0,1.37,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/8,2.27,2.96,1.5,4.24,2.81,0.15,0.81,1.04,3.01,1.13,0.24,0.22,3.69,0.31,0.98,2.19,0.49,2.93,1.35,2.1,0.73,3.02,3.53,1.21,1.87,3.13,2.8,2.65,2.64,3.11,0.93,4.12,0.33,4.09,2.5,0.36,0.36,3.93,1.1,0.31,0.36,1.45,0.28,0.5,0.4,1.69,0.65,1.02,0.9,1.42,5.69,0,1.26,1.7,1.01,2.89,0,1.24,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
2017/9,2.74,1.52,1.32,3.75,2.41,0.07,0.71,0.99,3.05,1.13,0.35,0.8,4.02,0.61,1,3.33,0.52,3.58,1.73,2.31,0.87,2.71,3.07,0.95,2.07,1.96,2.73,3.12,3.07,3.06,0.98,2.74,0.6,4.48,3.01,0.32,0.52,3.82,0.66,0.28,0.92,1.73,0.14,0.47,0.51,1.54,0.87,1.06,0.81,1.22,3.63,0,1.86,2.69,0.99,2.76,0,0.88,0.73,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/10,1.91,3.74,1.69,3.22,1.69,0.01,0.68,0.66,3.09,1.16,0.42,0.55,3.79,0.25,0.8,2.26,0.36,3.58,0.83,1.91,0.89,3.16,2.85,0.98,1.72,2.69,2.33,2.83,2.36,4.49,1.06,3.83,0.29,3.99,3.28,0.31,0.52,2.99,0.35,0.31,0.89,0.99,0.16,0.41,0.47,1.35,0.77,0.96,0.87,1.21,5.99,0,1.86,2.74,1.35,3.2,0,0.66,0.73,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/11,2.02,3.54,1.31,3.85,2.61,0.23,0.68,0.73,3.69,1.51,0.45,0.33,3.64,0.23,0.78,2.22,0.17,3.06,1.05,1.77,0.58,2.08,3.06,1.8,2.47,2.48,2.87,3.46,2.15,2.48,0.71,2.8,0.62,5.3,3.3,0.23,0.58,3.85,0.87,0.22,0.77,1.07,0.29,0.49,0.16,2.08,1.05,0.77,0.67,0.78,3.05,0,2.22,3.01,1.32,3.12,0,0.97,0.46,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/12,1.91,2.66,1.41,3.79,2.46,0.19,0.44,0.71,3.6,1.8,0.53,0.56,3.89,0.21,0.62,2.88,0.57,3.16,0.95,1.35,0.35,2.13,2.57,1.6,2.84,2.56,2.62,2.56,1.92,2.44,0.77,3.24,0.84,4.41,3.42,0.25,0.34,3.13,1.31,0.34,0.82,1.61,0.34,0.64,0.28,2.9,1.31,0.93,0.68,0.6,3.76,0,2.3,2.14,1.63,2.82,0,0.74,0.82,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/1,2.19,3.74,1.12,3.15,1.28,0.39,0.54,0.13,2.63,0.83,0.62,0.23,2.87,0.35,0.64,2.74,0.41,3.73,0.86,1.42,0.45,2.13,3.34,1.6,2.39,2.67,3.13,3,1.19,3.37,0.84,3.44,0.65,4.53,3.66,0.58,0.64,2.83,0.93,0.57,1.02,1.15,0.44,0.81,0.25,2.39,1.7,0.91,0.71,0.71,4.35,0,1.84,3.12,1.67,2.86,0,1.32,0.89,2.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/2,1.75,3.99,0.74,2.43,1.65,0.09,0.33,0.61,4.19,1.24,0.29,0.3,4.34,0.36,0.97,3.25,0.65,3.09,0.75,1.98,0.4,1.86,2.51,1.98,3.25,3.71,3.44,2.95,1.2,2.12,0.58,3.74,1.33,3.17,2.95,0.45,0.72,2.6,1.79,0.33,0.85,1.52,0.2,0.85,0.32,2.2,1.62,1.04,0.64,0.71,3.32,0,2.21,2.2,1.37,2.43,0,1.59,1.1,1.69,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
