Date,Green Sun's Zenith,Mox Opal,Splinter Twin,Faithless Looting,Ajani Nacatl Pariah
2024/12/01,0,0,0,0,2.16
2024/12/02,0,0,0,0,1.83
2024/12/05,0,0,0,0,1.5
2024/12/06,0,0,0,0,1.89
2024/12/07,0,0,0,0,2.08
2024/12/08,0,0,0,0,2.06
2024/12/09,0,0,0,0,3.5
2024/12/10,0,0,0,0,2.67
2024/12/12,0,0,0,0,2.67
2024/12/13,0,0,0,0,2.33
2024/12/14,0,0,0,0,1.94
2024/12/15,0,0,0,0,1.72
2024/12/16,0,0,0,0,1.67
2024/12/17,0.33,0.83,0,1.92,0.67
2024/12/19,0.25,0.83,0.33,1.17,1.5
2024/12/20,0.33,1.42,0.4,0.75,0.75
2024/12/21,0.6,1.0,0.11,0.75,1.21
2024/12/22,0.65,0.77,0.08,0.54,1.67
2024/12/23,0.92,0.33,0.33,0.5,0.83
2024/12/24,0.67,0.5,0,0.5,2.0
2024/12/26,0.33,0.83,0.17,0.62,1.33
2024/12/27,0.31,0.4,0,0.58,1.08
2024/12/28,0.42,0.42,0,0.46,0.75
