Date,Ajani Nacatl Pariah,Grist Voracious Larva,Ral Monsoon Mage,Sorin of House Markov,Tamiyo Inquisitive Student
2024/12/01,2.16,0,0.17,0,0.42
2024/12/02,1.83,0,0.5,0,0
2024/12/05,1.5,0,0.33,0.04,0.46
2024/12/06,1.89,0,0.44,0.01,0.39
2024/12/07,2.08,0,0.29,0,0.17
2024/12/08,2.06,0,0.22,0,0.19
2024/12/09,3.5,0,0.17,0,0
2024/12/10,2.67,0,0.17,0,0
2024/12/12,2.67,0,0.17,0,0.17
2024/12/13,2.33,0,0.33,0.02,0.25
2024/12/14,1.94,0,0.39,0.04,0.12
2024/12/15,1.72,0,0.28,0.03,0.22
2024/12/16,1.67,0,0.17,0.04,0.25
2024/12/17,0.67,0,0,0,0.62
2024/12/19,1.5,0,0.17,0,0.88
2024/12/20,0.75,0,0.08,0.02,1.17
2024/12/21,1.21,0,0.11,0,0.31
2024/12/22,1.67,0,0.08,0,0.6
2024/12/23,0.83,0,0.17,0,0.17
